#{"t_start": 1763674313.4397767, "env_id": "None"}
r,l,t
-5661.192432,1,0.763398
-5970.616141,1,0.763974
-9318.809483,1,0.764463
-5957.352274,1,0.76492
-5729.956399,1,0.765386
-9256.666053,1,0.765837
-6081.592024,1,0.766301
-9884.919765,1,0.766747
-8226.921791,1,0.767198
-9585.558497,1,0.767646
-8397.805482,1,0.768086
-10288.305513,1,0.768546
-4860.02421,1,0.768984
-6483.333258,1,0.769435
-7758.052736,1,0.769872
-6647.850007,1,0.770325
-7923.63575,1,0.770761
-10376.274373,1,0.771224
-6337.227113,1,0.771662
-7879.532319,1,0.772101
-5331.537219,1,0.772551
-7905.021859,1,0.772988
-6948.118584,1,0.773497
-5845.850805,1,0.773962
-5976.569159,1,0.774428
-6360.822208,1,0.774878
-8386.513645,1,0.775348
-7054.413284,1,0.7758
-7074.172495,1,0.776259
-8362.890419,1,0.776708
-9943.256875,1,0.777159
-6889.96106,1,0.777618
-6904.521649,1,0.778066
-7893.359982,1,0.778533
-8775.901191,1,0.778984
-8143.915747,1,0.779444
-10754.069552,1,0.779889
-4856.941588,1,0.78037
-6026.72476,1,0.780825
-6184.41134,1,0.781286
-6875.611056,1,0.781735
-8772.109309,1,0.782193
-8392.213193,1,0.782643
-5477.191915,1,0.783091
-6376.201651,1,0.783549
-7034.122402,1,0.783994
-5978.288907,1,0.784455
-8280.815233,1,0.7849
-7882.242476,1,0.785355
-8706.303563,1,0.785802
-7972.490751,1,0.786261
-8456.22719,1,0.78671
-6693.354378,1,0.787154
-7547.076608,1,0.787614
-6039.7967,1,0.78806
-11590.397843,1,0.788516
-7384.087232,1,0.788964
-6584.896403,1,0.789429
-8655.80661,1,0.789906
-6090.117953,1,0.790372
-9725.860478,1,0.790831
-7840.774614,1,0.791288
-8223.795405,1,0.791741
-9117.298397,1,0.792198
-8160.749072,1,0.792649
-6870.601395,1,0.793095
-6670.813723,1,0.793549
-6170.314206,1,0.794039
-9512.630005,1,0.794558
-10028.854624,1,0.795012
-6606.213922,1,0.795472
-4930.002903,1,0.79592
-7088.928734,1,0.796377
-6705.76248,1,0.796821
-5858.690669,1,0.797276
-7651.616014,1,0.797723
-8117.252719,1,0.798168
-6463.444139,1,0.798625
-5685.415499,1,0.799071
-7391.870763,1,0.799526
-6648.188645,1,0.799972
-8564.867808,1,0.800488
-7510.584948,1,0.800943
-9594.232158,1,0.801405
-5986.060149,1,0.801849
-8143.923852,1,0.802307
-8151.702478,1,0.802757
-8723.069478,1,0.803211
-8527.514246,1,0.803659
-4868.611127,1,0.804107
-7841.532149,1,0.804563
-6166.127464,1,0.805009
-6921.152304,1,0.805466
-7001.067065,1,0.805912
-5236.398765,1,0.806371
-7273.030106,1,0.806843
-9230.362,1,0.807303
-7678.375024,1,0.807749
-5866.330573,1,0.808205
-7620.085139,1,0.808654
-5880.504654,1,0.809098
-6545.038739,1,0.809558
-7388.2242,1,0.810011
-7345.527976,1,0.810471
-5944.751542,1,0.810924
-5701.690173,1,0.811382
-6327.125463,1,0.81183
-6920.039411,1,0.812286
-10435.002012,1,0.81273
-8756.311915,1,0.813176
-7117.175392,1,0.813686
-7024.199411,1,0.814315
-8639.09958,1,0.814771
-10204.561756,1,0.81523
-6734.868131,1,0.815684
-7490.155959,1,0.81613
-9160.758825,1,0.816588
-6446.279577,1,0.817034
-7264.95324,1,0.817497
-8348.73941,1,0.817944
-5712.471712,1,0.818407
-7756.233717,1,0.818854
-8165.032861,1,0.819316
-7409.231462,1,0.819765
-7698.877417,1,0.82022
-6769.073503,1,0.820667
-6888.419128,1,0.821113
-7129.89397,1,0.821568
-8819.370529,1,0.822012
-10188.083362,1,0.82247
-8004.930467,1,0.822918
-9544.114392,1,0.823377
-7288.265,1,0.823867
-6897.082138,1,0.824327
-5592.427706,1,0.824774
-9502.47,1,0.825228
-7094.519383,1,0.82568
-5385.342962,1,0.826123
-6158.795496,1,0.826581
-6270.863072,1,0.827024
-9034.678364,1,0.827485
-7517.049531,1,0.827931
-6397.911845,1,0.828385
-7131.390466,1,0.828835
-8226.436446,1,0.829307
-7620.226878,1,0.829753
-6708.689906,1,0.830206
-8476.655839,1,0.830653
-6597.304255,1,0.831098
-7437.644835,1,0.831553
-8030.705061,1,0.831997
-7057.826419,1,0.832451
-7818.677594,1,0.832895
-10215.676606,1,0.83335
-6598.525393,1,0.833796
-8755.399345,1,0.834251
-7028.088953,1,0.834697
-9150.88591,1,0.835144
-6422.014232,1,0.8356
-6460.580091,1,0.836045
-6251.504493,1,0.836542
-7820.972053,1,0.837063
